Year	113 Cause Name	Cause Name	State	Deaths	Age-adjusted Death Rate
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alabama	2313	52.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alaska	294	55.9
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arizona	2214	44.8
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arkansas	1287	47.6
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	California	9198	28.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Colorado	1519	39
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Connecticut	1034	29.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Delaware	267	35.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	District of Columbia	161	28.4
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Florida	5961	35.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Georgia	3078	41.5
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Hawaii	293	24.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Idaho	597	48.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Illinois	4125	33.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Indiana	2309	38.4
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Iowa	1123	35.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kansas	1126	40.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Kentucky	1730	43.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Louisiana	1940	44.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maine	458	34.9
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Maryland	1296	25.9
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Massachusetts	1303	19.6
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Michigan	3188	32.8
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Minnesota	1772	35.8
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Mississippi	1642	58.9
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Missouri	2465	43.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Montana	461	50.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nebraska	668	37.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Nevada	710	38.5
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Hampshire	329	27.5
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Jersey	2227	26.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New Mexico	969	55.9
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	New York	4797	25.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Carolina	3290	42.1
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	North Dakota	267	38.4
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Ohio	3630	31.8
2003	All Causes	All Causes	Colorado	29506	792
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oklahoma	1609	46.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Oregon	1199	34.7
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Pennsylvania	4614	35.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Rhode Island	243	21.5
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Carolina	1901	49.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	South Dakota	351	44.8
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Tennessee	2677	47.8
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Texas	7227	37.6
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	United States	97860	35.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Utah	650	33.4
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Vermont	209	34.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Virginia	2214	33.2
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Washington	1914	33.3
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	West Virginia	798	42
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wisconsin	1955	35.6
1999	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Wyoming	258	52.8
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alabama	2093	47
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Alaska	343	64.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arizona	2326	46.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Arkansas	1267	46.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	California	8577	26.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Colorado	1702	42.6
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Connecticut	1175	32.8
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Delaware	290	37.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	District of Columbia	204	35.7
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Florida	6267	37.3
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Georgia	3103	40.8
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Hawaii	343	28.2
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Idaho	518	41.5
2000	"Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	Unintentional Injuries	Illinois	4041	32.8
